Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
MCZ,38251,darlingtoni,Twig,Twig,Caribbean,73.76,89,23.48,13.01,11.27,8.4,8.72,10.49,12.79,12.57,18.95,1.18,1.31
USNM,220977,desechensis,Trunk Ground,Trunk Ground,Caribbean,60.44,121.91,18.25,8.85,10.95,9.58,9.55,11.18,14.85,17.35,22.73,1.44,1.74
USNM,314350,distichus,Trunk,Trunk,Caribbean,52.2,74.4,14,6.1,8.6,8.7,9,8.6,11.1,13.4,17.2,1.2,1.4
USNM,329166,dolichocephalus,Grass Bush,Grass Bush,Caribbean,49.24,137.48,16.74,9.76,7.18,6.27,6.35,6.52,11.19,13.04,18.43,0.72,1.03
USNM,35674,dollfusianus,Mainland,Mainland,Mainland,36,,9.8,4.8,5.7,4.9,5.5,5.7,8.5,9.5,12.5,0.6,0.7
CAS,67643,dollfusianus,Mainland,Mainland,Mainland,37.7,75.3,10.3,4.7,6.3,5.3,5.3,6.4,8.9,10.9,13.8,,
USNM,47753,dunni,Mainland,Mainland,Mainland,51.9,104.1,14.6,6.4,8.9,7.5,7.3,9.2,11.6,13.6,18,1.2,1.2
MCZ,78720,dunni,Mainland,Mainland,Mainland,55.69,106.83,13.55,6.35,8.88,8.59,7.78,8.35,12.2,13.92,17.61,1.1,1.12
CAS,14608,equestris,Crown Giant,Crown Giant,Caribbean,145.9,,46.2,24.5,27.3,21.4,23.9,23.2,30.8,35,45.2,4,4.8
CAS,14609,equestris,Crown Giant,Crown Giant,Caribbean,152.9,306.5,48.1,26.1,27.1,22.3,24.5,22.3,31.1,36.6,45.1,3.7,4.6
MCZ,158396,ernestwilliamsi,Trunk Ground,Trunk Ground,Caribbean,78.18,127.89,22.77,11.13,14.06,11.83,12.65,13.52,18.11,22.81,27,1.84,2.14
USNM,260520,etheridgei,Unknown,Unknown,Caribbean,40.5,,11.7,5.3,7.3,6.3,6.4,7,11.6,13.1,16.6,0.8,0.9
USNM,260519,etheridgei,Unknown,Unknown,Caribbean,40.6,80.7,11.2,5.2,7,6.8,6.5,7.5,13,13.5,17.9,0.7,0.9
USNM,329223,eugenegrahami,Unknown,Unknown,Caribbean,68.3,132.61,16.53,7.47,9.32,12.5,11.13,12.83,19.4,19.82,27.03,1.46,2.05
USNM,286901,eugenegrahami,Unknown,Unknown,Caribbean,73.59,,18,7.88,10.03,12.67,12.92,13.66,19.13,20.39,28.81,1.79,2.05
USNM,27237,evermanni,Trunk Crown,Trunk Crown,Caribbean,57.4,98.6,16,7.5,9.9,8.4,8,10.2,12.3,14.7,19.4,1.2,1.4
USNM,58481,evermanni,Trunk Crown,Trunk Crown,Caribbean,60,109,17.3,8.8,10.8,8.6,9.2,10.7,13.5,15.1,20.4,1.4,1.7
USNM,27238,evermanni,Trunk Crown,Trunk Crown,Caribbean,62,111.9,18,9.1,10.7,9.3,10.2,11.9,13.3,15.7,22.2,1.7,1.8
USNM,234630,fuscoauratus,Mainland,Mainland,Mainland,40.8,81,10.1,5,5.4,4.5,5.5,6.2,8.5,10.3,13.4,0.5,0.7
CAS,143036,gadovii,Mainland,Mainland,Mainland,66.9,125.4,16.6,7.7,10.3,11.3,12.3,11.9,17.2,18.9,24.6,1.3,1.4
CAS,143034,gadovii,Mainland,Mainland,Mainland,71.7,,18.3,8.1,11.7,11.8,12,11.9,18.4,18.8,25.8,1.4,1.7
CAS,143035,gadovii,Mainland,Mainland,Mainland,72.9,135.8,17.5,8.3,10.9,11.5,13,11.7,18.7,18.7,24.3,1.4,1.5
MCZ,171295,gaigei,Mainland,Mainland,Mainland,44.51,102.81,11.53,5.02,6.74,6.71,6.64,7.79,10.84,13.54,17.5,0.58,0.82
USNM,54225,gaigei,Mainland,Mainland,Mainland,47.9,106.2,13.3,6.3,8,7.1,7.4,8.3,10.3,14.5,18.5,0.7,0.9
USNM,108063,garmani,Crown Giant,Crown Giant,Caribbean,96.7,204.6,29.3,15,17.2,14.9,16.6,15,22.2,24.5,32.8,2.1,2.8
USNM,337569,garmani,Crown Giant,Crown Giant,Caribbean,114.4,235.3,32.2,15.9,18.7,17.1,16.6,17.1,21.6,26,33.5,2.8,3.7
USNM,498013,garridoi,Twig,Twig,Caribbean,36.19,36.39,10.34,5.26,4.94,4.32,4.04,4.38,5.43,5.89,7.98,0.7,0.79
USNM,234686,gracilipes,Mainland,Mainland,Mainland,53.6,113.7,13.4,6.1,8.2,7.8,9.4,9,15.4,16.8,21,0.7,0.8
